Reporting Entity,Facility Name,Type,State,Electricity Production (GJ),ACTUAL_GEN,EMISSION,EMISSION_SCOPE_2,TOTAL_EMISSION,EMISSION INTENSITY,Grid Connected,Grid,FUELTYPE,Important Notes
ACCIONA ENERGY OCEANIA PTY LTD,Cathedral Rocks Wind Farm,F,SA,"555,151","154,209",50,95,145,0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,NSW,"636,185","176,718",45,143,188,0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Mt Gellibrand Wind Farm,F,VIC,"1,086,174","301,715",49,308,357,0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,F,VIC,"2,414,107","670,585",139,452,591,0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Corporate Total,C,-,"4,691,617","1,303,227",283,998,"1,281",-,-,-,-,-
ADANI RENEWABLE ASSET HOLDINGS PTY LTD,Adani Rugby Run Solar Farm,F,QLD,"589,185","163,662",0,0,0,0,On,NEM,Solar,-
ADANI RENEWABLE ASSET HOLDINGS PTY LTD,Corporate Total,C,-,"589,185","163,662",0,0,0,-,-,-,-,-
AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,"126,183","35,051",8,39,47,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Barker Inlet Power Station,F,SA,"901,686","250,468","110,595","1,553","112,148",0.44,On,NEM,Gas,-
AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,"56,724,062","15,756,684","14,013,621","24,693","14,038,314",0.89,On,NEM,Black Coal,-
AGL ENERGY LIMITED,Bogong Power Station,F,VIC,"302,433","84,009",79,585,664,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Broken Hill Solar Plant,F,NSW,"299,498","83,194",78,395,473,0,On,NEM,Solar,-
AGL ENERGY LIMITED,Clover Hydro,F,VIC,804,223,2,406,408,0.01,On,NEM,Hydro,-
AGL ENERGY LIMITED,Copeton Hydro,F,NSW,"4,378","1,216",1,0,1,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Dartmouth Hydro,F,VIC,"1,035,344","287,595",0,242,242,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Eildon Hydro,F,VIC,"361,514","100,421",0,193,193,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,6,2,0,11,11,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,SA,"1,058,072","293,909",85,195,280,0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,SA,"844,578","234,605",71,154,225,0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,SA,"1,539,619","427,672",152,320,472,0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,SA,"516,226","143,396",61,151,212,0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hunter Valley Gas Turbines,F,NSW,"6,596","1,832","2,334",7,"2,341",1.27,On,NEM,Gas,-
AGL ENERGY LIMITED,Kwinana Swift Power Station,F,WA,"442,826","123,007","71,151",0,"71,151",0.58,On,SWIS,Gas,-
AGL ENERGY LIMITED,Liddell Power Station,F,NSW,"37,960,485","10,544,579","9,970,686","40,748","10,011,434",0.95,On,NEM,Black Coal,-
AGL ENERGY LIMITED,Loy Yang Power Station and Mine,F,VIC,"52,787,806","14,663,279","16,683,326","242,951","16,926,277",1.14,On,NEM,Brown Coal,-
AGL ENERGY LIMITED,Macarthur Wind Farm,F,VIC,"3,436,848","954,680","12,421","3,184","15,605",0.01,On,NEM,Wind,-
AGL ENERGY LIMITED,McKay Creek Hydro,F,VIC,"375,870","104,408",0,"4,553","4,553",0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Nyngan Solar Plant,F,NSW,"871,597","242,110",150,714,864,0,On,NEM,Solar,-
AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,VIC,"716,825","199,118",73,481,554,0,On,NEM,Wind,-
AGL ENERGY LIMITED,Rubicon Hydro Scheme,F,VIC,"17,216","4,782",0,93,93,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Silverton Wind Farm,F,NSW,"2,174,344","603,984",134,281,415,0,On,NEM,Wind,-
AGL ENERGY LIMITED,Somerton Power Station,F,VIC,"344,085","95,579","67,041","1,720","68,761",0.7,On,NEM,Gas,-
AGL ENERGY LIMITED,Torrens Island Power Station,F,SA,"7,836,105","2,176,696","1,262,196","13,776","1,275,972",0.58,On,NEM,Gas,-
AGL ENERGY LIMITED,Wattle Point Wind Farm,F,SA,"973,724","270,479",53,158,211,0,On,NEM,Wind,-
AGL ENERGY LIMITED,West Kiewa Hydro,F,VIC,"524,348","145,652",0,746,746,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Yarrawonga Hydro,F,VIC,"77,952","21,653",0,70,70,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Corporate Total,C,-,"172,261,031","47,850,286","42,194,318","338,419","42,532,737",-,-,-,-,-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Pinjarra Generation Facility,F,WA,"6,851,412","1,903,170","1,340,502",302,"1,340,804",0.7,On,SWIS,Gas,-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Corporate Total,C,-,"6,851,412","1,903,170","1,340,502",302,"1,340,804",-,-,-,-,-
APT PIPELINES LIMITED,Badgingarra Solar Farm,F,WA,"141,407","39,280",16,62,78,0,On,SWIS,Solar,-
APT PIPELINES LIMITED,Badgingarra Wind Farm,F,WA,"1,764,569","490,158",90,353,443,0,On,SWIS,Wind,-
APT PIPELINES LIMITED,Daandine Power Station,F,QLD,"764,306","212,307","109,246",80,"109,326",0.51,On,NEM,Coal Seam Methane,"Please note that where more than one person has operational control over a facility at the same time and no nomination of operational control has been made, data for the facility for the entire period must be reported by the controlling corporation of each entity with operational control. This results in the same facility being reported multiple times. APT PIPELINES LIMITED and CLARKE ENERGY (AUSTRALIA) PTY. LTD., have each included the same data for the Daandine Power Station in their NGER reports."
APT PIPELINES LIMITED,Darling Downs Solar Farm,F,QLD,"871,353","242,043",461,727,"1,188",0,On,NEM,Wind,-
APT PIPELINES LIMITED,Diamantina Power Station,F,QLD,"6,168,352","1,713,431","701,504",131,"701,635",0.41,On,Mt Isa,Gas,-
APT PIPELINES LIMITED,Emu Downs Solar Farm,F,WA,"177,976","49,438",11,67,78,0,On,SWIS,Solar,-
APT PIPELINES LIMITED,Emu Downs Wind Farm,F,WA,"876,726","243,535",79,275,354,0,On,SWIS,Wind,-
APT PIPELINES LIMITED,Corporate Total,C,-,"10,764,689","2,990,191","811,407","1,695","813,102",-,-,-,-,-
ARROW ENERGY HOLDINGS PTY LTD,Braemar 2 Power Station,F,QLD,"1,242,201","345,056","206,961","4,612","211,573",0.6,On,NEM,Coal Seam Methane,-
ARROW ENERGY HOLDINGS PTY LTD,Corporate Total,C,-,"1,242,201","345,056","206,961","4,612","211,573",-,-,-,-,-
ATCO AUSTRALIA PTY LTD,Karratha Power Station,F,WA,"351,776","97,715","70,699",164,"70,863",0.72,On,NWIS,Gas,-
ATCO AUSTRALIA PTY LTD,Osborne facility,F,SA,"2,613,839","726,066","299,328","2,698","302,026",0.41,On,NEM,Gas,-
ATCO AUSTRALIA PTY LTD,Corporate Total,C,-,"2,965,614","823,782","370,027","2,862","372,889",-,-,-,-,-
AWF AUS HOLD OP CO PTY LTD,Facility,F,VIC,"2,231,783","619,940",19,"1,397","1,416",0,On,NEM,Wind,-
AWF AUS HOLD OP CO PTY LTD,Corporate Total,C,-,"2,231,783","619,940",19,"1,397","1,416",-,-,-,-,-
BALD HILLS WF HOLDINGS PTY LTD,Bald Hills Wind Farm Pty Ltd,F,VIC,"1,183,663","328,795",92,648,740,0,On,NEM,Wind,-
BALD HILLS WF HOLDINGS PTY LTD,Corporate Total,C,-,"1,183,663","328,795",92,648,740,-,-,-,-,-
BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,Gullen Solar Pty Ltd,F,NSW,"70,810","19,670",0,178,178,0,On,NEM,Solar,-
BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,New Gullen Range Wind Farm Pty Ltd,F,NSW,"1,964,482","545,689",87,149,236,0,On,NEM,Wind,-
BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,Corporate Total,C,-,"2,035,292","565,359",87,327,414,-,-,-,-,-
BHP GROUP LIMITED,Yarnima Power Station,F,WA,"2,630,286","730,635","315,226",0,"315,226",0.43,Off,Off-grid,Gas,-
BHP GROUP LIMITED,Corporate Total,C,-,"2,630,286","730,635","315,226",0,"315,226",-,-,-,-,-
BLUEWATERS POWER 1 PTY LTD,Bluewaters Power 1,F,WA,"6,277,068","1,743,630","1,469,272","2,534","1,471,806",0.84,On,SWIS,Black Coal,-
BLUEWATERS POWER 1 PTY LTD,Corporate Total,C,-,"6,277,068","1,743,630","1,469,272","2,534","1,471,806",-,-,-,-,-
BLUEWATERS POWER 2 PTY LTD,Bluewaters Power 2,F,WA,"6,378,372","1,771,770","1,434,244","1,300","1,435,544",0.81,On,SWIS,Black Coal,-
BLUEWATERS POWER 2 PTY LTD,Corporate Total,C,-,"6,378,372","1,771,770","1,434,244","1,300","1,435,544",-,-,-,-,-
