Reporting entity,Facility name,Type,State,Electricity production (GJ),ACTUAL_GEN,EMISSION,EMISSION_SCOPE_2,TOTAL_EMISSION,EMISSION INTENSITY,Grid connected,Grid,FUELTYPE,Important notes
ACCIONA ENERGY OCEANIA PTY LTD,Cathedral Rocks Wind Farm,F,SA,"521,625","144,896",56,156,212,0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,NSW,"568,252","157,848",54,199,253,0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Mt Gellibrand Wind Farm,F,VIC,"1,053,711","292,697",81,726,807,0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,F,VIC,"2,339,624","649,896",172,851,"1,023",0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Corporate Total,C,-,"4,483,212","1,245,337",363,"1,932","2,295",-,-,-,-,-
ADANI RENEWABLE ASSET HOLDINGS PTY LTD,Adani Rugby Run Solar Farm,F,QLD,"615,760","171,045",1,577,578,0,On,NEM,Solar,-
ADANI RENEWABLE ASSET HOLDINGS PTY LTD,Corporate Total,C,-,"615,760","171,045",1,577,578,-,-,-,-,-
AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,"13,440","3,733",0,25,25,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Barker Inlet Power Station,F,SA,"1,111,534","308,759","175,223","2,543","177,766",0.57,On,NEM,Gas,-
AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,"53,502,955","14,861,932","13,215,259","34,798","13,250,057",0.89,On,NEM,Black Coal,-
AGL ENERGY LIMITED,Bogong Power Station,F,VIC,"392,944","109,151",82,681,763,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Broken Hill Solar Plant,F,NSW,"389,673","108,242",82,334,416,0,On,NEM,Solar,-
AGL ENERGY LIMITED,Burrendong Hydro,F,NSW,"58,645","16,290",1,37,38,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Clover Hydro,F,VIC,"184,506","51,252",2,218,220,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Copeton Hydro,F,NSW,"73,746","20,485",1,56,57,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Dartmouth Hydro,F,VIC,"197,525","54,868",0,276,276,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Eildon Hydro,F,VIC,"325,382","90,384",20,80,100,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,0,0,0,9,9,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,SA,"1,099,253","305,348",109,180,289,0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,SA,"818,187","227,274",76,124,200,0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,SA,"1,513,897","420,527",161,255,416,0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,SA,"485,471","134,853",64,129,193,0,On,NEM,Wind,-
AGL ENERGY LIMITED,Kwinana Swift Power Station,F,WA,"193,065","53,629","31,283",244,"31,527",0.58,On,SWIS,Gas,-
AGL ENERGY LIMITED,Liddell Power Station,F,NSW,"29,183,166","8,106,435","7,658,316","41,284","7,699,600",0.94,On,NEM,Black Coal,-
AGL ENERGY LIMITED,Loy Yang Power Station and Mine,F,VIC,"54,517,793","15,143,831","17,701,028","247,304","17,948,332",1.17,On,NEM,Brown Coal,-
AGL ENERGY LIMITED,Macarthur Wind Farm,F,VIC,"2,937,197","815,888","5,169","2,128","7,297",0.01,On,NEM,Wind,-
AGL ENERGY LIMITED,McKay Creek Hydro,F,VIC,"480,265","133,407",0,"2,117","2,117",0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Nyngan Solar Plant,F,NSW,"752,856","209,127",154,693,847,0,On,NEM,Solar,-
AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,VIC,"674,438","187,344",65,379,444,0,On,NEM,Wind,-
AGL ENERGY LIMITED,Pindari Hydro,F,NSW,"6,847","1,902",0,17,17,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Rubicon Hydro Scheme,F,VIC,0,0,0,21,21,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Silverton Wind Farm,F,NSW,"2,523,865","701,074",75,572,647,0,On,NEM,Wind,-
AGL ENERGY LIMITED,Somerton Power Station,F,VIC,"226,482","62,912","46,089","1,634","47,723",0.73,On,NEM,Gas,-
AGL ENERGY LIMITED,Torrens Island Power Station,F,SA,"3,866,881","1,074,133","637,005","9,800","646,805",0.59,On,NEM,Gas,-
AGL ENERGY LIMITED,Wattle Point Wind Farm,F,SA,"993,013","275,837",89,85,174,0,On,NEM,Wind,-
AGL ENERGY LIMITED,West Kiewa Hydro,F,VIC,"770,966","214,157",0,502,502,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Yarrawonga Hydro,F,VIC,"145,223","40,340",0,45,45,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Corporate Total,C,-,"157,439,215","43,733,115","39,470,353","346,570","39,816,923",-,-,-,-,-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Pinjarra Generation Facility,F,WA,"4,476,808","1,243,558","921,917",402,"922,319",0.74,On,SWIS,Gas,-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Corporate Total,C,-,"4,476,808","1,243,558","921,917",402,"922,319",-,-,-,-,-
AMP AUSTRALIA HOLDINGS PTY LTD,Hillston Sun Farm,F,NSW,"278,539","77,372",4,657,661,0,On,NEM,Solar,-
AMP AUSTRALIA HOLDINGS PTY LTD,Corporate Total,C,-,"278,539","77,372",4,657,661,-,-,-,-,-
AMP ENERGY AUSTRALIA 1-1 PTY LTD,Molong Solar Farm,F,NSW,"134,931","37,481",4,345,349,0,On,NEM,Solar,-
AMP ENERGY AUSTRALIA 1-1 PTY LTD,Corporate Total,C,-,"134,931","37,481",4,345,349,-,-,-,-,-
APA INFRASTRUCTURE LIMITED,Badgingarra Solar Farm,F,WA,"158,018","43,894",8,48,56,0,On,SWIS,Solar,-
APA INFRASTRUCTURE LIMITED,Badgingarra Wind Farm,F,WA,"1,912,816","531,338",28,273,301,0,On,SWIS,Wind,-
APA INFRASTRUCTURE LIMITED,Daandine Power Station,F,QLD,"75,328","20,924","10,131","1,192","11,323",0.48,On,NEM,Coal Seam Methane,"Please note that where more than one person has operational control over a facility at the same time and no nomination of operational control has been made, data for the facility for the entire period must be reported by the controlling corporation of each entity with operational control. This results in the same facility being reported multiple times. APA INFRASTRUCTURE LIMITED and CLARKE ENERGY (AUSTRALIA) PTY. LTD., have each included the same data for the Daandine Power Station in their NGER reports."
APA INFRASTRUCTURE LIMITED,Darling Downs Solar Farm,F,QLD,"673,855","187,182",4,649,653,0,On,NEM,Wind,-
APA INFRASTRUCTURE LIMITED,Diamantina Power Station,F,QLD,"7,410,951","2,058,598","865,523",98,"865,621",0.42,On,Mt Isa,Gas,-
APA INFRASTRUCTURE LIMITED,Emu Downs Solar Farm,F,WA,"167,062","46,406",2,153,155,0,On,SWIS,Solar,-
APA INFRASTRUCTURE LIMITED,Emu Downs Wind Farm,F,WA,"851,726","236,591",45,153,198,0,On,SWIS,Wind,-
APA INFRASTRUCTURE LIMITED,Corporate Total,C,-,"11,249,756","3,124,932","875,741","2,566","878,307",-,-,-,-,-
ARET PLATFORM PTY LIMITED,Willogoleche Wind Farm,F,SA,"1,368,408","380,113",59,175,234,0,On,NEM,Wind,-
ARET PLATFORM PTY LIMITED,Corporate Total,C,-,"1,368,408","380,113",59,175,234,-,-,-,-,-
ARROW ENERGY HOLDINGS PTY LTD,Braemar 2 Power Station,F,QLD,"1,995,952","554,431","341,822","4,036","345,858",0.62,On,NEM,Coal Seam Methane,-
ARROW ENERGY HOLDINGS PTY LTD,Corporate Total,C,-,"1,995,952","554,431","341,822","4,036","345,858",-,-,-,-,-
ATCO AUSTRALIA PTY LTD,Karratha Power Station,F,WA,"343,876","95,521","66,290",147,"66,437",0.69,On,NWIS,Gas,-
ATCO AUSTRALIA PTY LTD,Osborne facility,F,SA,"2,259,504","627,640","260,263","2,737","263,000",0.41,On,NEM,Gas,-
ATCO AUSTRALIA PTY LTD,Corporate Total,C,-,"2,603,380","723,161","326,553","2,884","329,437",-,-,-,-,-
AWF AUS HOLD OP CO PTY LTD,Facility,F,VIC,"1,955,185","543,107",101,"1,159","1,260",0,On,NEM,Wind,-
AWF AUS HOLD OP CO PTY LTD,Corporate Total,C,-,"1,955,185","543,107",101,"1,159","1,260",-,-,-,-,-
BALD HILLS WF HOLDINGS PTY LTD,Bald Hills Wind Farm Pty Ltd,F,VIC,"1,309,240","363,678",83,610,693,0,On,NEM,Wind,-
BALD HILLS WF HOLDINGS PTY LTD,Corporate Total,C,-,"1,309,240","363,678",83,610,693,-,-,-,-,-
